     	proc  	id   	;    	begin  	end   	*    	record integer 	real  	[    	num   	]    	=    	+    	(    	)    	-    	or   	and   	not   	true  	false  	<    	<=   	==   	!=   	>    	>=   	if   	then  	else  	while  	do   	call  	,    	$    	P'   	P    	S    	D    	T    	X    	C    	N1   	N2   	E    	E1   	E2   	L    	B    	B1   	B2   	R    	S1   	S2   	S0   	S3   	M0   	M    	N    	EL   
0    	s456  	s438  	     	s1   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	s412  	     	     	s403  	     	s426  	     	     	     	564   	442   	     	     	     	     	     	     	     	     	     	434   	     	     	     	     	433   	432   	     	     	     	     	     	     
1    	     	s342  	     	s2   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	s228  	     	     	s3   	     	s278  	     	     	     	     	349   	     	     	     	     	     	     	     	     	     	312   	     	     	     	     	311   	310   	     	401   	     	     	     	     
2    	     	s342  	     	s2   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	s228  	     	     	s3   	     	s278  	     	     	     	     	349   	     	     	     	     	     	     	     	     	     	312   	     	     	     	     	311   	310   	     	399   	     	     	     	     
3    	     	r56   	     	     	     	     	     	     	     	     	r56   	     	     	     	r56   	     	r56   	     	     	r56   	r56   	r56   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	4    	     	     
4    	     	s56   	     	     	     	     	     	     	     	     	s55   	     	     	     	s108  	     	s60   	     	     	s210  	s73   	s72   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	74   	71   	64   	5    	221   	220   	211   	     	     	     	     	     	     	     	     	     
5    	     	     	     	     	     	r26   	     	     	     	s6   	     	     	     	r26   	     	     	     	     	     	     	     	     	r26   	r26   	r26   	r26   	r26   	r26   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
6    	     	s10   	     	     	     	     	     	     	     	     	s9   	     	     	     	s13   	     	s12   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	53   	17   	16   	7    	     	     	     	     	     	     	     	     	     	     	     	     
7    	     	     	     	     	     	r26   	     	     	     	s8   	     	r26   	     	r26   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
8    	     	s10   	     	     	     	     	     	     	     	     	s9   	     	     	     	s13   	     	s12   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	51   	17   	16   	7    	     	     	     	     	     	     	     	     	     	     	     	     
9    	     	     	     	     	     	r25   	     	     	     	     	     	r25   	     	r25   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
10   	     	     	     	     	     	r24   	     	     	     	s11   	     	r24   	     	r24   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
11   	     	s10   	     	     	     	     	     	     	     	     	s9   	     	     	     	s13   	     	s12   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	49   	17   	16   	7    	     	     	     	     	     	     	     	     	     	     	     	     
12   	     	s10   	     	     	     	     	     	     	     	     	s9   	     	     	     	s13   	     	s12   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	46   	45   	16   	7    	     	     	     	     	     	     	     	     	     	     	     	     
13   	     	s25   	     	     	     	     	     	     	     	     	s24   	     	     	     	s30   	     	s29   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	43   	32   	31   	14   	     	     	     	     	     	     	     	     	     	     	     	     
14   	     	     	     	     	     	r26   	     	     	     	s15   	     	     	     	r26   	     	r26   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
15   	     	s10   	     	     	     	     	     	     	     	     	s9   	     	     	     	s13   	     	s12   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	20   	17   	16   	7    	     	     	     	     	     	     	     	     	     	     	     	     
16   	     	     	     	     	     	r21   	     	     	     	     	     	r21   	     	r21   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
17   	     	     	     	     	     	s18   	     	     	     	     	     	r19   	     	r19   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
18   	     	s10   	     	     	     	     	     	     	     	     	s9   	     	     	     	s13   	     	s12   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	19   	7    	     	     	     	     	     	     	     	     	     	     	     	     
19   	     	     	     	     	     	r20   	     	     	     	     	     	r20   	     	r20   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
20   	     	     	     	     	     	     	     	     	     	     	     	s23   	     	s21   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
21   	     	s10   	     	     	     	     	     	     	     	     	s9   	     	     	     	s13   	     	s12   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	22   	16   	7    	     	     	     	     	     	     	     	     	     	     	     	     
22   	     	     	     	     	     	s18   	     	     	     	     	     	r18   	     	r18   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
23   	     	     	     	     	     	r28   	     	     	     	r28   	     	     	     	r28   	     	r28   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
